영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명
Chandrapur Airport,찬드라푸르 공항,n/a,VA1B,아시아태평양,India,인도,Chandrapur
Changbaishan Airport,창바이산 공항,NBS,ZYBS,아시아태평양,China,중국,Baishan
Changchun Longjia International Airport,장춘 룽지아 국제공항,CGQ,ZYCC,아시아태평양,China,중국,Changchun
Changde Taohuayuan Airport,창더 타오화위안 공항,CGD,ZGCD,아시아태평양,China,중국,Changde
Changhai Airport,장하이 공항,CNI,ZYCH,아시아태평양,China,중국,Changhai
Changsha Huanghua International Airport,창사 황화 국제공항,CSX,ZGHA,아시아태평양,China,중국,Changsha
Changuinola International Airport,창위놀라 국제공항,CHX,MPCH,중남미,Panama,파나마,Changuinola
Changzhi Wangcun Airport,창즈 왕춘 공항,CIH,ZBCZ,아시아태평양,China,중국,Changzhi
Changzhou Benniu Airport,창저우 베니우 공항,CZX,ZSCG,아시아태평양,China,중국,Changzhou
Chania International Airport,하니아 국제공항,CHQ,LGSA,유럽,Greece,그리스,Chania
Chaoyang Airport,차오양 공항,CHG,ZYCY,아시아태평양,China,중국,Chaoyang
Chara Airport,차라 공항,CZR,UIAR,유럽,Russia,러시아,Chara
Charles B. Wheeler Downtown Airport,찰스 B. 휠러 다운타운 공항,MKC,KMKC,북미캐나다,United States,미국,Kansas City
Charles de Gaulle Airport,샤를 드골 공항,CDG,LFPG,유럽,France,프랑스,Paris
Charles Kirkconnell International Airport,찰스 커코넬 국제 공항,CYB,MWCB,중남미,Cayman Islands,케이멘제도,Cayman Brac
Charles M. Schulz Sonoma County Airport,찰스 M. 슐츠 소노마 카운티 공항,STS,KSTS,북미캐나다,United States,미국,Santa Rosa
Charleston International Airport,찰스턴 국제공항,CHS,KCHS,북미캐나다,United States,미국,Charleston
Charleville Airport,샤를르빌 공항,CTL,YBCV,대양주,Australia,오스트레일리아,Charleville
Charlevoix Municipal Airport,샤를부아 시립공항,n/a,KCVX,북미캐나다,United States,미국,Charlevoix 
Charlo Airport,샬로 공항,YCL,CYCL,북미캐나다,Canada,캐나다,Charlo
Charlotte Douglas International Airport,샬럿 더글러스 국제 공항,CLT,KCLT,북미캐나다,United States,미국,Charlotte
Charlottesville Albemarle Airport,샬러츠빌 앨버말 공항,CHO,KCHO,북미캐나다,United States,미국,Charlottesville
Charlottetown Airport,샬럿타운 공항,YHG,n/a,북미캐나다,Canada,캐나다,Charlottetown
Charlottetown Airport,샬럿타운 공항,YYG,CYYG,북미캐나다,Canada,캐나다,Charlottetown
Chateauroux Centre Airport,샤토룩스 데올 공항,CHR,LFLX,유럽,France,프랑스,Chateauroux
